"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,         170,      -11.86968517,      -12.30548173,      -12.94808948,      -12.76117656
          0,           0,         171,       -11.8915425,      -12.32759776,       -12.9697482,      -12.78475836
          0,           0,         172,      -11.91348317,      -12.34926259,      -12.99186886,      -12.80569837
          0,           0,         173,      -11.93542483,      -12.37126226,      -13.01371461,      -12.82701612
          0,           0,         174,      -11.95730884,      -12.39322994,      -13.03556397,      -12.85043945
          0,           0,         175,      -11.97930663,      -12.41494131,      -13.05769308,       -12.8702931
          0,           0,         176,      -12.00121266,      -12.43710637,      -13.07939544,         -12.89356
          0,           0,         177,      -12.02317051,      -12.45885868,      -13.10151008,      -12.91518864
          0,           0,         178,      -12.04516448,      -12.48081832,      -13.12344627,      -12.93596124
          0,           0,         179,      -12.06707424,      -12.50289826,      -13.14525936,      -12.95972462
          0,           0,         180,      -12.08909948,      -12.52461106,      -13.16745327,      -12.97978346
          0,           0,         181,      -12.11105306,      -12.54679165,      -13.18920555,      -13.00257169
          0,           0,         182,      -12.13302217,      -12.56864458,      -13.21128794,       -13.0249032
          0,           0,         183,      -12.15505944,       -12.5905557,      -13.23332084,       -13.0452432
          0,           0,         184,      -12.17699608,      -12.61272701,      -13.25510555,      -13.06913005
          0,           0,         185,      -12.19903798,      -12.63446212,       -13.2773457,      -13.08958628
          0,           0,         186,      -12.22103716,      -12.65662772,      -13.29916014,      -13.11179163
          0,           0,         187,       -12.2430145,      -12.67858811,      -13.32118669,      -13.13476919
          0,           0,         188,      -12.26508528,      -12.70045249,      -13.34332419,      -13.15484232
          0,           0,         189,      -12.28705087,      -12.72268831,      -13.36509474,      -13.17862918
          0,           0,         190,      -12.30910059,       -12.7444679,      -13.38734214,      -13.19963666
          0,           0,         191,      -12.33114191,      -12.76659416,      -13.40924118,      -13.22122427
          0,           0,         192,      -12.35312706,      -12.78866101,      -13.43120429,      -13.24472577
          0,           0,         193,      -12.37522131,      -12.81048907,      -13.45343291,      -13.26473173
          0,           0,         194,       -12.3972181,      -12.83275918,      -13.47521066,      -13.28821203
          0,           0,         195,      -12.41926908,      -12.85460432,      -13.49742831,      -13.30986875
          0,           0,         196,      -12.44134752,      -12.87667483,       -13.5194316,      -13.33087563
          0,           0,         197,      -12.46334229,      -12.89883858,      -13.54133562,      -13.35472661
          0,           0,         198,      -12.48545027,      -12.92064793,      -13.56362257,      -13.37487686
          0,           0,         199,      -12.50747974,      -12.94292171,      -13.58543622,      -13.39788222
          0,           0,         200,      -12.52952809,      -12.96484903,      -13.60760057,       -13.4202191
          0,           0,         201,      -12.55163715,       -12.9868566,       -13.6297099,      -13.44074937
          0,           0,         202,      -12.57364481,      -13.00909979,      -13.65156911,      -13.46474136
          0,           0,         203,      -12.59575776,      -13.03091274,      -13.67387838,       -13.4852353
          0,           0,         204,      -12.61782034,      -13.05316206,       -13.6957557,      -13.50765354
          0,           0,         205,      -12.63986475,      -13.07518204,      -13.71785557,       -13.5306299
          0,           0,         206,      -12.66199683,      -13.09712873,      -13.74005612,      -13.55084333
          0,           0,         207,      -12.68402141,      -13.11942772,      -13.76189207,      -13.57475614
          0,           0,         208,      -12.70613213,      -13.14126857,      -13.78419439,      -13.59575871
          0,           0,         209,      -12.72822656,      -13.16347029,      -13.80615316,      -13.61754504
          0,           0,         210,      -12.75026811,      -13.18558525,      -13.82818484,      -13.64105287
          0,           0,         211,      -12.77241504,      -13.20748176,      -13.85045572,      -13.66114689
          0,           0,         212,      -12.79446049,      -13.22980914,      -13.87229363,      -13.68477248
