"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         193,      -6.528985778,      -3.276043674,      -4.137293161,      -1.048617286
          0,           0,         194,      -6.945413493,       -3.27485328,       -4.47941469,      -1.429629168
          0,           0,         195,      -6.996055367,      -3.274409452,      -4.489707742,      -1.445699274
          0,           0,         196,      -6.999325401,      -3.276366898,      -4.565172276,      -1.457863945
          0,           0,         197,      -6.789223261,      -3.280381801,      -4.391651817,       -1.29571304
          0,           0,         198,      -7.045606198,      -3.280237354,      -4.583879881,      -1.504434559
          0,           0,         199,      -7.072232553,      -3.280388884,       -4.58061671,      -1.507518988
          0,           0,         200,      -7.006931911,      -3.282230726,      -4.575617761,      -1.468767468
          0,           0,         201,      -6.797898273,      -3.286045611,      -4.405730574,      -1.303922001
          0,           0,         202,      -7.062255288,      -3.285874652,      -4.613339984,      -1.516818929
          0,           0,         203,      -7.092039069,      -3.286044495,       -4.61245454,      -1.522017568
          0,           0,         204,      -7.025251598,      -3.287916678,      -4.609631621,      -1.484654416
          0,           0,         205,      -6.801778466,      -3.291723841,      -4.409164453,        -1.3082929
          0,           0,         206,      -7.068165047,      -3.291549232,      -4.621313487,       -1.52313014
          0,           0,         207,      -7.097876721,      -3.291714075,      -4.620367022,      -1.528192572
          0,           0,         208,      -7.030328352,      -3.293577641,      -4.615841377,       -1.49038849
          0,           0,         209,       -6.80541097,      -3.297374496,       -4.41047439,      -1.312414208
          0,           0,         210,      -7.073673663,      -3.297201216,      -4.627405598,      -1.529259573
          0,           0,         211,      -7.104117054,      -3.297366236,      -4.627506757,      -1.534902425
          0,           0,         212,      -7.034158382,      -3.299221997,      -4.618481563,      -1.495394039
          0,           0,         213,      -6.811088331,      -3.303005149,      -4.417041486,      -1.318528734
          0,           0,         214,       -7.08307158,      -3.302827698,      -4.641314325,      -1.538321166
