"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         317,      -4.983751481,      -3.212020055,      -4.699623466,      -1.257033391
          0,           0,         318,       -4.98466624,      -3.212827261,      -4.689863472,      -1.257295975
          0,           0,         319,      -4.985585592,      -3.213625926,      -4.690110624,      -1.258206382
          0,           0,         320,      -4.986500353,      -3.214425288,      -4.697019881,      -1.259742353
          0,           0,         321,      -4.987406027,      -3.215229607,      -4.705356551,      -1.261556451
          0,           0,         322,      -4.988303273,      -3.216038098,      -4.711237604,      -1.263307465
          0,           0,         323,      -4.989195484,      -3.216847378,      -4.713506681,      -1.264820192
          0,           0,         324,      -4.990085985,      -3.217654194,      -4.713255402,      -1.266096361
          0,           0,         325,      -4.990976421,       -3.21845698,      -4.712402349,      -1.267248012
          0,           0,         326,      -4.991866647,      -3.219255946,      -4.712421636,      -1.268404231
          0,           0,         327,      -4.992755554,       -3.22005225,      -4.713807233,      -1.269641045
          0,           0,         328,      -4.993642032,      -3.220847033,      -4.716233327,      -1.270964203
